distortion,param,strong,noise,evidenceCUMUL,hypNode,Probability,K2Probability,Game,accuracy,rms
arbitraryRounded,0.1,weak,0,E_6_says_stolen1,agent_steals,H1,0.82,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,weak,0,E_7_says_stolen1,agent_steals,H1,0.95,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,weak,0,E_8_says_stolen1,agent_steals,H1,0.99,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,no_evidence0,agent_steals,0.5,0.51,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,E_0_says_stolen1,agent_steals,0.2,0.21,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,E_1_says_stolen1,agent_steals,0.5,0.54,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,E_2_says_stolen1,agent_steals,0.8,0.83,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,E_3_says_stolen1,agent_steals,0.5,0.54,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,E_4_says_stolen1,agent_steals,0.8,0.82,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,E_5_says_stolen1,agent_steals,0.94,0.95,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,E_6_says_stolen1,agent_steals,0.8,0.82,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,E_7_says_stolen1,agent_steals,0.94,0.95,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.1,strong,0,E_8_says_stolen1,agent_steals,0.98,0.99,0.72,0.03049999999999994,basicGame
arbitraryRounded,0.125,weak,0,no_evidence0,agent_steals,0,0.51,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,weak,0,E_0_says_stolen1,agent_steals,H0,0.21,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,weak,0,E_1_says_stolen1,agent_steals,H1,0.54,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,weak,0,E_2_says_stolen1,agent_steals,H1,0.83,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,weak,0,E_3_says_stolen1,agent_steals,H1,0.54,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,weak,0,E_4_says_stolen1,agent_steals,H1,0.82,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,weak,0,E_5_says_stolen1,agent_steals,H1,0.95,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,weak,0,E_6_says_stolen1,agent_steals,H1,0.82,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,weak,0,E_7_says_stolen1,agent_steals,H1,0.95,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,weak,0,E_8_says_stolen1,agent_steals,H1,0.99,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,no_evidence0,agent_steals,0.5,0.51,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,E_0_says_stolen1,agent_steals,0.25,0.21,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,E_1_says_stolen1,agent_steals,0.67,0.54,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,E_2_says_stolen1,agent_steals,0.86,0.83,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,E_3_says_stolen1,agent_steals,0.67,0.54,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,E_4_says_stolen1,agent_steals,0.86,0.82,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,E_5_says_stolen1,agent_steals,0.95,0.95,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,E_6_says_stolen1,agent_steals,0.86,0.82,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,E_7_says_stolen1,agent_steals,0.95,0.95,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.125,strong,0,E_8_says_stolen1,agent_steals,0.98,0.99,0.6925,0.03687499999999993,basicGame
arbitraryRounded,0.2,weak,0,no_evidence0,agent_steals,H1,0.51,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,weak,0,E_0_says_stolen1,agent_steals,H0,0.21,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,weak,0,E_1_says_stolen1,agent_steals,H1,0.54,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,weak,0,E_2_says_stolen1,agent_steals,H1,0.83,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,weak,0,E_3_says_stolen1,agent_steals,H1,0.54,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,weak,0,E_4_says_stolen1,agent_steals,H1,0.82,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,weak,0,E_5_says_stolen1,agent_steals,H1,0.95,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,weak,0,E_6_says_stolen1,agent_steals,H1,0.82,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,weak,0,E_7_says_stolen1,agent_steals,H1,0.95,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,weak,0,E_8_says_stolen1,agent_steals,H1,0.99,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,strong,0,no_evidence0,agent_steals,0.6,0.51,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,strong,0,E_0_says_stolen1,agent_steals,0.27,0.21,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,strong,0,E_1_says_stolen1,agent_steals,0.6,0.54,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,strong,0,E_2_says_stolen1,agent_steals,0.86,0.83,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,strong,0,E_3_says_stolen1,agent_steals,0.6,0.54,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,strong,0,E_4_says_stolen1,agent_steals,0.86,0.82,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,strong,0,E_5_says_stolen1,agent_steals,0.96,0.95,0.72,0.029124999999999956,basicGame
arbitraryRounded,0.2,strong,0,E_6_says_stolen1,agent_steals,0.86,0.82,0.72,0.029124999999999956,basicGame
